Record,Spp #,Species,Length (mm),Weight (g),Length (in),Weight (lbs),Sex,Maturity,MM,DD,YYYY,Date,WaterBody,Section,Count,Notes,LOC_Name,LOC_Number,NetType,Position,Season,TimeSet,TimePulled,HoursSet,H2O Temp (F),H2O Temp (C),NetNumb,NetCount,Condition (Fulton's K),Condition Filtered,Strategy,Length (cm),100 mm Group
55160,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,78,,Mid Sophie,15,2,Inner,Spring,20:30,10:00,13.5,54,12.2,247,1,,FALSE,Pre-Biop,,
54886,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,138,,North Black Lake,3,2,Inner,Spring,20:30,10:00,13.5,54,12.2,241,1,,FALSE,Pre-Biop,,
55069,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,76,,North of North Point Tobacco,9,2,Inner,Spring,20:30,10:00,13.5,54,12.2,245,1,,FALSE,Pre-Biop,,
55108,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,75,,North Point Murray,13,2,Inner,Spring,20:30,10:00,13.5,54,12.2,246,1,,FALSE,Pre-Biop,,
55197,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,42,,North Point Young,17,2,Inner,Spring,20:30,10:00,13.5,54,12.2,248,1,,FALSE,Pre-Biop,,
55232,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,62,,North Sophie,18,2,Inner,Spring,20:30,10:00,13.5,54,12.2,249,1,,FALSE,Pre-Biop,,
54845,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,81,,South Black Lake,2,2,Inner,Spring,20:30,10:00,13.5,54,12.2,240,1,,FALSE,Pre-Biop,,
54921,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,34,,South of Far South Tobacco,5,2,Inner,Spring,20:30,10:00,13.5,54,12.2,242,1,,FALSE,Pre-Biop,,
55029,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,58,,South Tobacco,7,2,Inner,Spring,20:30,10:00,13.5,54,12.2,244,1,,FALSE,Pre-Biop,,
55293,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,96,,,,2,Inner,Spring,20:30,10:00,13.5,54,12.2,250,1,,FALSE,Pre-Biop,,
55329,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,94,,,,2,Inner,Spring,20:30,10:00,13.5,54,12.2,251,1,,FALSE,Pre-Biop,,
55369,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,108,,,,2,Inner,Spring,20:30,10:00,13.5,54,12.2,252,1,,FALSE,Pre-Biop,,
57634,29,PEA,199,55,7.83,0.12,Male,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,Far South Tobacco,6,2,Inner,Spring,21:25,8:59,11.57,,9.8,256,1,69.79,TRUE,Pre-Biop,19,100
57848,29,PEA,,,,,,,5,15,1991,5/15/1991,Koocanusa,Rexford,4,,Mid Sophie,15,2,Inner,Spring,19:50,10:02,14.2,,9.8,263,1,,FALSE,Pre-Biop,,
57605,29,PEA,250,108,9.84,0.24,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,North Black Lake,3,2,Inner,Spring,21:18,8:55,11.62,,9.8,254,1,69.12,TRUE,Pre-Biop,25,200
57728,20,YP,198,80,7.8,0.18,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,Inner,Spring,19:20,10:25,15.08,,9.8,259,1,103.06,TRUE,Pre-Biop,19,100
57761,29,PEA,,,,,,,5,15,1991,5/15/1991,Koocanusa,Rexford,9,,North Point Dodge,10,2,Inner,Spring,21:05,8:34,11.48,,9.8,260,1,,FALSE,Pre-Biop,,
57790,29,PEA,,,,,,,5,15,1991,5/15/1991,Koocanusa,Rexford,2,,North Point Murray,13,2,Inner,Spring,19:30,10:15,14.75,,9.8,261,1,,FALSE,Pre-Biop,,
57679,29,PEA,207,55,8.15,0.12,Male,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,North Point Tobacco,8,2,Inner,Spring,19:10,10:33,15.38,,9.8,258,1,62.01,TRUE,Pre-Biop,20,200
57885,29,PEA,,,,,,,5,15,1991,5/15/1991,Koocanusa,Rexford,27,,North Point Young,17,2,Inner,Spring,20:09,9:47,13.63,,9.8,264,1,,FALSE,Pre-Biop,,
57916,29,PEA,206,62,8.11,0.14,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,20:00,9:54,13.9,,9.8,265,1,70.92,TRUE,Pre-Biop,20,200
57927,58,LS SU,424,650,16.69,1.43,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,Sandhill,19,2,Inner,Spring,21:28,9:33,12.08,,9.8,266,1,85.27,TRUE,Pre-Biop,42,400
57584,29,PEA,,,,,,,5,15,1991,5/15/1991,Koocanusa,Rexford,81,,South Black Lake,2,2,Inner,Spring,21:12,8:42,11.5,,9.8,253,1,,FALSE,Pre-Biop,,
57617,29,PEA,251,,9.88,,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,South of Far South Tobacco,5,2,Inner,Spring,21:31,9:05,11.57,,9.8,255,1,,FALSE,Pre-Biop,25,200
57837,29,PEA,223,94,8.78,0.21,Female,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,South Sophie,14,2,Inner,Spring,19:42,10:09,14.45,,9.8,262,1,84.76,TRUE,Pre-Biop,22,200
57646,56,LN SU,335,343,13.19,0.76,Male,,5,15,1991,5/15/1991,Koocanusa,Rexford,1,,South Tobacco,7,2,Inner,Spring,21:38,9:11,11.55,,9.8,257,1,91.23,TRUE,Pre-Biop,33,300
58100,29,PEA,,,,,,,5,16,1991,5/16/1991,Koocanusa,Rexford,6,,Far South Tobacco,6,2,Inner,Spring,20:25,10:29,14.07,,9.8,270,1,,FALSE,Pre-Biop,,
58310,29,PEA,227,90,8.94,0.2,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,Mid Sophie,15,2,Inner,Spring,19:25,9:00,13.58,,9.8,277,1,76.94,TRUE,Pre-Biop,22,200
58015,29,PEA,,,,,,,5,16,1991,5/16/1991,Koocanusa,Rexford,37,,North Black Lake,3,2,Inner,Spring,20:15,10:10,13.92,,9.8,268,1,,FALSE,Pre-Biop,,
58186,85,MWF,235,110,9.25,0.24,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,Inner,Spring,19:00,9:24,14.4,,9.8,273,1,84.76,TRUE,Pre-Biop,23,200
58232,29,PEA,230,90,9.06,0.2,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,North Point Dodge,10,2,Inner,Spring,20:00,9:55,13.92,,9.8,274,1,73.97,TRUE,Pre-Biop,23,200
58247,29,PEA,,,,,,,5,16,1991,5/16/1991,Koocanusa,Rexford,10,,North Point Murray,13,2,Inner,Spring,19:19,9:13,13.9,,9.8,275,1,,FALSE,Pre-Biop,,
58152,29,PEA,,,,,,,5,16,1991,5/16/1991,Koocanusa,Rexford,41,,North Point Tobacco,8,2,Inner,Spring,18:50,9:28,14.63,,9.8,272,1,,FALSE,Pre-Biop,,
58349,29,PEA,228,86,8.98,0.19,Male,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,North Point Young,17,2,Inner,Spring,19:37,8:22,12.75,,9.8,278,1,72.56,TRUE,Pre-Biop,22,200
58364,29,PEA,229,94,9.02,0.21,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,19:32,8:30,12.97,,9.8,279,1,78.27,TRUE,Pre-Biop,22,200
58381,29,PEA,185,44,7.28,0.1,Male,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,Sandhill,19,2,Inner,Spring,19:47,9:42,13.92,,9.8,280,1,69.49,TRUE,Pre-Biop,18,100
57950,29,PEA,198,52,7.8,0.11,,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,South Black Lake,2,2,Inner,Spring,20:07,10:07,14,,9.8,267,1,66.99,TRUE,Pre-Biop,19,100
58068,29,PEA,,,,,,,5,16,1991,5/16/1991,Koocanusa,Rexford,4,,South of Far South Tobacco,5,2,Inner,Spring,20:20,10:21,14.02,,9.8,269,1,,FALSE,Pre-Biop,,
58288,29,PEA,224,92,8.82,0.2,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,South Sophie,14,2,Inner,Spring,19:10,9:01,13.85,,9.8,276,1,81.85,TRUE,Pre-Biop,22,200
58142,29,PEA,242,110,9.53,0.24,Female,,5,16,1991,5/16/1991,Koocanusa,Rexford,1,,South Tobacco,7,2,Inner,Spring,20:30,10:35,14.08,,9.8,271,1,77.62,TRUE,Pre-Biop,24,200
59697,29,PEA,233,130,9.17,0.29,,,4,2,1992,4/2/1992,Koocanusa,Tenmile,1,,,,2,,Spring,13:45,7:40,17.92,,,281,1,102.77,TRUE,Pre-Biop,23,200
59710,29,PEA,230,105,9.06,0.23,,,4,2,1992,4/2/1992,Koocanusa,Tenmile,1,,,,2,,Spring,13:40,7:30,17.83,,,282,1,86.3,TRUE,Pre-Biop,23,200
59894,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,109,,Far South Tobacco,6,2,,Spring,18:45,10:10,15.42,59.5,15.3,285,1,,FALSE,Pre-Biop,,
60248,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,67,,Mid Sophie,15,2,,Spring,17:35,8:45,15.17,59.5,15.3,292,1,,FALSE,Pre-Biop,,
60043,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,159,,North of North Point Tobacco,9,2,,Spring,16:50,10:45,17.92,59.5,15.3,288,1,,FALSE,Pre-Biop,,
60090,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,97,,North Point Dodge,10,2,,Spring,18:10,9:35,15.42,59.5,15.3,289,1,,FALSE,Pre-Biop,,
60129,29,PEA,216,102,8.5,0.22,Female,,5,5,1992,5/5/1992,Koocanusa,Rexford,1,,North Point Murray,13,2,,Spring,17:10,8:30,15.33,59.5,15.3,290,1,101.21,TRUE,Pre-Biop,21,200
60002,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,40,,North Point Tobacco,8,2,,Spring,17:00,10:30,17.5,59.5,15.3,287,1,,FALSE,Pre-Biop,,
60307,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,69,,North Point Young,17,2,,Spring,17:55,9:00,15.08,59.5,15.3,293,1,,FALSE,Pre-Biop,,
60357,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,119,,North Sophie,18,2,,Spring,17:45,8:55,15.17,59.5,15.3,294,1,,FALSE,Pre-Biop,,
60429,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,43,,Sandhill,19,2,,Spring,18:00,9:50,15.83,59.5,15.3,295,1,,FALSE,Pre-Biop,,
59739,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,168,,South Black Lake,2,2,,Spring,18:40,9:50,15.17,59.5,15.3,283,1,,FALSE,Pre-Biop,,
59793,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,123,,South Black Lake,2,2,Inner,Spring,18:20,9:45,15.42,59.5,15.3,297,1,,FALSE,Pre-Biop,,
59845,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,209,,South of Far South Tobacco,5,2,,Spring,18:30,10:00,15.5,59.5,15.3,284,1,,FALSE,Pre-Biop,,
60180,29,PEA,210,85,8.27,0.19,,,5,5,1992,5/5/1992,Koocanusa,Rexford,1,,South Sophie,14,2,,Spring,17:20,8:40,15.33,59.5,15.3,291,1,91.78,TRUE,Pre-Biop,21,200
59938,29,PEA,,,,,,,5,5,1992,5/5/1992,Koocanusa,Rexford,107,,South Tobacco,7,2,,Spring,18:15,10:15,16,59.5,15.3,286,1,,FALSE,Pre-Biop,,
60655,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,114,,Far South Tobacco,6,2,,Spring,18:36,10:03,15.45,59.5,15.3,300,1,,FALSE,Pre-Biop,,
61050,29,PEA,200,50,7.87,0.11,Male,,5,6,1992,5/6/1992,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,17:45,8:43,14.97,59.5,15.3,307,1,62.5,TRUE,Pre-Biop,20,200
60548,29,PEA,240,98,9.45,0.22,Male,,5,6,1992,5/6/1992,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,18:27,9:51,15.4,59.5,15.3,298,1,70.89,TRUE,Pre-Biop,24,200
60828,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,94,,North of North Point Tobacco,9,2,,Spring,17:20,8:16,14.93,59.5,15.3,303,1,,FALSE,Pre-Biop,,
60887,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,147,,North Point Dodge,10,2,,Spring,18:10,9:33,15.38,59.5,15.3,304,1,,FALSE,Pre-Biop,,
60933,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,109,,North Point Murray,13,2,,Spring,17:27,8:28,15.02,59.5,15.3,305,1,,FALSE,Pre-Biop,,
60762,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,19,,North Point Tobacco,8,2,,Spring,17:15,8:10,14.92,59.5,15.3,302,1,,FALSE,Pre-Biop,,
61063,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,70,,North Point Young,17,2,,Spring,17:58,9:05,15.12,59.5,15.3,308,1,,FALSE,Pre-Biop,,
61103,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,142,,North Sophie,18,2,,Spring,17:50,8:49,14.98,59.5,15.3,309,1,,FALSE,Pre-Biop,,
61165,29,PEA,310,255,12.2,0.56,Female,,5,6,1992,5/6/1992,Koocanusa,Rexford,1,,Sandhill,19,2,,Spring,18:04,9:09,15.08,59.5,15.3,310,1,85.6,TRUE,Pre-Biop,31,300
60490,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,97,,South Black Lake,2,2,,Spring,18:20,9:43,15.38,59.5,15.3,296,1,,FALSE,Pre-Biop,,
60591,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,110,,South of Far South Tobacco,5,2,,Spring,18:31,9:56,15.42,59.5,15.3,299,1,,FALSE,Pre-Biop,,
60992,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,102,,South Sophie,14,2,,Spring,17:36,8:35,14.98,59.5,15.3,306,1,,FALSE,Pre-Biop,,
60700,29,PEA,,,,,,,5,6,1992,5/6/1992,Koocanusa,Rexford,105,,South Tobacco,7,2,,Spring,18:41,10:10,15.48,59.5,15.3,301,1,,FALSE,Pre-Biop,,
62416,29,PEA,210,62,8.27,0.14,,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,Far South Tobacco,6,2,,Spring,19:05,11:27,16.37,,,314,1,66.95,TRUE,Pre-Biop,21,200
62778,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,80,,Mid Sophie,15,2,,Spring,17:50,0:00,16.17,,,321,1,,FALSE,Pre-Biop,,
62304,29,PEA,263,130,10.35,0.29,,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,18:50,11:16,16.43,,,312,1,71.46,TRUE,Pre-Biop,26,200
62563,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,7,,North of North Point Tobacco,9,2,,Spring,,,15,,,317,1,,FALSE,Pre-Biop,,
62612,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,61,,North Point Dodge,10,2,,Spring,18:35,11:00,16.42,,,318,1,,FALSE,Pre-Biop,,
62659,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,59,,North Point Murray,13,2,,Spring,,,15,,,319,1,,FALSE,Pre-Biop,,
62501,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,43,,North Point Tobacco,8,2,,Spring,17:25,8:37,15.2,,,316,1,,FALSE,Pre-Biop,,
62845,29,PEA,225,85,8.86,0.19,,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,North Point Young,17,2,,Spring,18:20,10:40,16.33,,,322,1,74.62,TRUE,Pre-Biop,22,200
62871,12,WCT,306,260,12.05,0.57,Female,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,North Sophie,18,2,,Spring,17:55,9:15,15.33,,,323,1,90.74,TRUE,Pre-Biop,30,300
62905,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,53,,Sandhill,19,2,,Spring,18:25,10:45,16.33,,,324,1,,FALSE,Pre-Biop,,
62246,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,59,,South Black Lake,2,2,,Spring,18:50,11:10,16.33,,,311,1,,FALSE,Pre-Biop,,
62364,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,89,,South of Far South Tobacco,5,2,,Spring,19:00,11:21,16.35,,,313,1,,FALSE,Pre-Biop,,
62718,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,52,,South Sophie,14,2,,Spring,17:40,0:00,16.33,,,320,1,,FALSE,Pre-Biop,,
62455,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,12,,South Tobacco,7,2,,Spring,19:10,11:34,16.4,,,315,1,,FALSE,Pre-Biop,,
62940,29,PEA,233,95,9.17,0.21,,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,,,2,,Spring,,,15,,,325,1,75.1,TRUE,Pre-Biop,23,200
62961,29,PEA,206,70,8.11,0.15,,,5,18,1993,5/18/1993,Koocanusa,Rexford,1,,,,2,,Spring,,,15,,,326,1,80.07,TRUE,Pre-Biop,20,200
62988,29,PEA,,,,,,,5,18,1993,5/18/1993,Koocanusa,Rexford,46,,,,2,,Spring,18:35,11:00,16.42,,,327,1,,FALSE,Pre-Biop,,
63147,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,28,,Far South Tobacco,6,2,,Spring,19:20,10:35,15.25,,,331,1,,FALSE,Pre-Biop,,
63513,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,55,,Mid Sophie,15,2,,Spring,18:00,8:48,14.8,,,338,1,,FALSE,Pre-Biop,,
63082,29,PEA,250,119,9.84,0.26,,,5,19,1993,5/19/1993,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,19:10,10:25,15.25,,,329,1,76.16,TRUE,Pre-Biop,25,200
63281,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,22,,North of North Point Tobacco,9,2,,Spring,17:37,8:26,14.82,,,334,1,,FALSE,Pre-Biop,,
63349,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,48,,North Point Dodge,10,2,,Spring,18:30,9:43,15.22,,,335,1,,FALSE,Pre-Biop,,
63384,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,8,,North Point Murray,13,2,,Spring,17:45,8:33,14.8,,,336,1,,FALSE,Pre-Biop,,
63244,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,23,,North Point Tobacco,8,2,,Spring,17:30,8:20,14.83,,,333,1,,FALSE,Pre-Biop,,
63576,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,30,,North Point Young,17,2,,Spring,18:15,9:30,15.25,,,339,1,,FALSE,Pre-Biop,,
63612,29,PEA,255,134,10.04,0.3,,,5,19,1993,5/19/1993,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,18:10,8:55,14.75,,,340,1,80.81,TRUE,Pre-Biop,25,200
63620,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,8,,North Sophie,18,2,Outer,Spring,18:10,8:55,14.75,,,341,1,,FALSE,Pre-Biop,,
63650,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,50,,Sandhill,19,2,,Spring,16:22,10:32,18.17,,,342,1,,FALSE,Pre-Biop,,
63025,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,31,,South Black Lake,2,2,,Spring,18:40,10:15,15.58,,,328,1,,FALSE,Pre-Biop,,
63092,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,58,,South of Far South Tobacco,5,2,,Spring,19:15,10:30,15.25,,,330,1,,FALSE,Pre-Biop,,
63436,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,28,,South Sophie,14,2,,Spring,17:55,8:40,14.75,,,337,1,,FALSE,Pre-Biop,,
63194,29,PEA,,,,,,,5,19,1993,5/19/1993,Koocanusa,Rexford,12,,South Tobacco,7,2,,Spring,19:25,10:50,15.42,,,332,1,,FALSE,Pre-Biop,,
64763,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,37,,Far South Tobacco,6,2,Inner,Spring,16:32,10:32,18,,13.3,374,1,,FALSE,Pre-Biop,,
65179,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,15,,Mid Sophie,15,2,Inner,Spring,15:35,9:23,17.8,,13.3,381,1,,FALSE,Pre-Biop,,
64656,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,65,,North Black Lake,3,2,Inner,Spring,16:17,10:15,17.97,,13.3,372,1,,FALSE,Pre-Biop,,
64939,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,20,,North of North Point Tobacco,9,2,Inner,Spring,15:10,8:50,17.67,,13.3,377,1,,FALSE,Pre-Biop,,
64992,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,89,,North Point Dodge,10,2,Inner,Spring,16:00,9:55,17.92,,13.3,378,1,,FALSE,Pre-Biop,,
65059,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,51,,North Point Murray,13,2,Inner,Spring,15:20,9:05,17.75,,13.3,379,1,,FALSE,Pre-Biop,,
64883,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,71,,North Point Tobacco,8,2,Inner,Spring,15:04,8:45,17.68,,13.3,376,1,,FALSE,Pre-Biop,,
65244,29,PEA,255,112,10.04,0.25,,,5,16,1994,5/16/1994,Koocanusa,Rexford,1,,North Point Young,17,2,Inner,Spring,15:50,9:40,17.83,,13.3,382,1,67.55,TRUE,Pre-Biop,25,200
65278,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,65,,North Sophie,18,2,Inner,Spring,15:40,9:30,17.83,,13.3,383,1,,FALSE,Pre-Biop,,
65349,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,50,,Sandhill,19,2,Inner,Spring,15:45,9:45,18,,13.3,384,1,,FALSE,Pre-Biop,,
64585,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,85,,South Black Lake,2,2,Inner,Spring,16:12,10:10,17.97,,13.3,371,1,,FALSE,Pre-Biop,,
64711,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,55,,South of Far South Tobacco,5,2,Inner,Spring,16:25,10:20,17.92,,13.3,373,1,,FALSE,Pre-Biop,,
65113,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,73,,South Sophie,14,2,Inner,Spring,15:26,9:15,17.82,,13.3,380,1,,FALSE,Pre-Biop,,
64827,29,PEA,,,,,,,5,16,1994,5/16/1994,Koocanusa,Rexford,52,,South Tobacco,7,2,Inner,Spring,16:43,11:45,19.03,,13.3,375,1,,FALSE,Pre-Biop,,
65541,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,64,,Far South Tobacco,6,2,Inner,Spring,17:15,11:09,17.9,,13.3,388,1,,FALSE,Pre-Biop,,
65907,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,19,,Mid Sophie,15,2,Inner,Spring,16:00,9:35,17.58,,13.3,395,1,,FALSE,Pre-Biop,,
65445,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,68,,North Black Lake,3,2,Inner,Spring,16:55,10:51,17.93,,13.3,386,1,,FALSE,Pre-Biop,,
65697,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,47,,North of North Point Tobacco,9,2,Inner,Spring,15:31,8:55,17.4,,13.3,391,1,,FALSE,Pre-Biop,,
65737,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,129,,North Point Dodge,10,2,Inner,Spring,16:37,10:30,17.88,,13.3,392,1,,FALSE,Pre-Biop,,
65778,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,58,,North Point Murray,13,2,Inner,Spring,15:40,9:22,17.7,,13.3,393,1,,FALSE,Pre-Biop,,
65645,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,54,,North Point Tobacco,8,2,Inner,Spring,15:28,8:47,17.32,,13.3,390,1,,FALSE,Pre-Biop,,
65956,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,31,,North Point Young,17,2,Inner,Spring,16:25,10:10,17.75,,13.3,396,1,,FALSE,Pre-Biop,,
65993,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,219,,North Sophie,18,2,Inner,Spring,16:10,9:50,17.67,,13.3,397,1,,FALSE,Pre-Biop,,
66057,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,104,,Sandhill,19,2,Inner,Spring,16:30,10:17,17.78,,13.3,398,1,,FALSE,Pre-Biop,,
65392,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,112,,South Black Lake,2,2,Inner,Spring,16:47,10:45,17.97,,13.3,385,1,,FALSE,Pre-Biop,,
65484,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,200,,South of Far South Tobacco,5,2,Inner,Spring,17:10,10:56,17.77,,13.3,387,1,,FALSE,Pre-Biop,,
65840,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,52,,South Sophie,14,2,Inner,Spring,15:50,9:28,17.63,,13.3,394,1,,FALSE,Pre-Biop,,
65603,29,PEA,,,,,,,5,17,1994,5/17/1994,Koocanusa,Rexford,56,,South Tobacco,7,2,Inner,Spring,17:25,11:22,17.95,,13.3,389,1,,FALSE,Pre-Biop,,
67411,29,PEA,250,138,9.84,0.3,,,5,8,1995,5/8/1995,Koocanusa,Rexford,1,,Far South Tobacco,6,2,,Spring,19:28,11:51,16.38,,13.5,402,1,88.32,TRUE,Biop,25,200
67831,29,PEA,248,144,9.76,0.32,,,5,8,1995,5/8/1995,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,18:15,10:05,15.83,,13.5,410,1,94.41,TRUE,Biop,24,200
67279,29,PEA,237,130,9.33,0.29,,,5,8,1995,5/8/1995,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,19:13,11:29,16.27,,13.5,400,1,97.66,TRUE,Biop,23,200
67590,29,PEA,270,160,10.63,0.35,,,5,8,1995,5/8/1995,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,,Spring,17:50,9:18,15.47,,13.5,406,1,81.29,TRUE,Biop,27,200
